estID,est_name,full_ecosystem_type_name,efz_ha,Cumulative Pressure Level,pressure_2025_flow_modification,pressure_artificial_breaching,pressure_2018_Flow_modification,pressure_2025_pollution,pressure_2018_Pollution,pressure_2025_habitat_loss,pressure_2025_fishing_effort_DEFF,pressure_2018_fishing_effort_DEFF,pressure_2011_fishing_effort_DEFF,pressure_invasive_alien_plants,Pressure_alien_fish,OUTLET_IDw,NAME,LONGdd,LATdd,EcoType_na,RLE_NBA18,PL_NBA18,PES2018,type,zone,extent,RLE,EPL,RLE_EPL,realm,protection_level,threat_status
27,Buffels (Oos),1 Cool Temperate - Small Temporarily Closed,35.8,Low,Medium,,Medium,Low,Low,Low,Low,Low,Low,High,,55,Buffels (Oos),18.82953497,-34.33894694,Cool Temperate Small Temporarily Closed,Endangered,Well,B,Cool Temperate Small Temporarily Closed,CTemp,5.17640367488,VU,MP,VU_MP,est,Moderately Protected,Vulnerable
28,Palmiet,1 Cool Temperate - Large Temporarily Closed,44.2,Medium,Medium,,Medium,Medium,Medium,High,Very high,Low,Low,Medium,High,56,Palmiet,18.99414097,-34.34544,Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,C,Cool Temperate Large Temporarily Closed,CTemp,32.839120096,EN,PP,EN_PP,est,Poorly Protected,Endangered
29,Bot/Kleinmond,1 Cool Temperate - Estuarine Lake,2345.9,Medium,Medium,Medium,Medium,High,High,Low,Very high,Very high,Very high,Medium,High,57,Bot/Kleinmond,19.09713197,-34.368431,Cool Temperate Estuarine Lake,Endangered,Poorly,C,Cool Temperate Estuarine Lake,CTemp,70.930767172,EN,PP,EN_PP,est,Poorly Protected,Endangered
30,Onrus,1 Cool Temperate - Small Temporarily Closed,30.8,High,High,Low,High,Very high,Very high,High,Low,Low,Low,Medium,High,58,Onrus,19.178692,-34.418652,Cool Temperate Small Temporarily Closed,Endangered,Well,D,Cool Temperate Small Temporarily Closed,CTemp,5.17640367488,VU,MP,VU_MP,est,Moderately Protected,Vulnerable
31,Klein,1 Cool Temperate - Estuarine Lake,2065.5,Medium,Low,Medium,Low,High,High,Medium,Very high,Very high,High,High,High,60,Klein,19.29815897,-34.42065389,Cool Temperate Estuarine Lake,Endangered,Poorly,C,Cool Temperate Estuarine Lake,CTemp,70.930767172,EN,PP,EN_PP,est,Poorly Protected,Endangered
32,Uilkraals,1 Cool Temperate - Predominantly Open,747.7,High,Very high,Medium,Very high,Medium,Very high,Medium,Medium,Medium,Medium,Medium,Low,61,Uilkraals,19.40763497,-34.60754889,Cool Temperate Predominantly Open,Endangered,Not Protected,D,Cool Temperate Predominantly Open,CTemp,152.598212237,EN,NP,EN_NP,est,Not Protected,Endangered
33,Ratel,1 Cool Temperate - Small Temporarily Closed,35.9,Low,Low,,Low,Medium,Medium,Low,Low,Low,Low,,,63,Ratel,19.746506,-34.77101889,Cool Temperate Small Temporarily Closed,Endangered,Well,B,Cool Temperate Small Temporarily Closed,CTemp,5.17640367488,VU,MP,VU_MP,est,Moderately Protected,Vulnerable
34,Heuningnes,2 Warm Temperate - Estuarine Lake,10993.7,High,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Very high,65,Heuningnes,20.119246,-34.71479,Warm Temperate Estuarine Lake,Endangered,Moderately,C/D,Warm Temperate Estuarine Lake,WTemp,143.423569509,EN,MP,EN_MP,est,Moderately Protected,Endangered
35,Klipdrifsfontein,2 Warm Temperate - Small Temporarily Closed,6.7,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,66,Klipdrifsfontein,20.73133197,-34.451906,Warm Temperate Small Temporarily Closed,Least Concern,Well,A,Warm Temperate Small Temporarily Closed,WTemp,16.1027211742,LC,MP,LC_MP,est,Moderately Protected,Least Concern
36,Breede,2 Warm Temperate - Predominantly Open,2257.6,Low,Medium,,Medium,Medium,Medium,Low,High,High,High,High,Very high,68,Breede,20.84533197,-34.40743389,Warm Temperate Predominantly Open,Vulnerable,Poorly,B/C,Warm Temperate Predominantly Open,WTemp,176.692482939,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
