estID,est_name,full_ecosystem_type_name,efz_ha,Cumulative Pressure Level,pressure_2025_flow_modification,pressure_artificial_breaching,pressure_2018_Flow_modification,pressure_2025_pollution,pressure_2018_Pollution,pressure_2025_habitat_loss,pressure_2025_fishing_effort_DEFF,pressure_2018_fishing_effort_DEFF,pressure_2011_fishing_effort_DEFF,pressure_invasive_alien_plants,Pressure_alien_fish,OUTLET_IDw,NAME,LONGdd,LATdd,EcoType_na,RLE_NBA18,PL_NBA18,PES2018,type,zone,extent,RLE,EPL,RLE_EPL,realm,protection_level,threat_status
"6",Sout (Noord),1 Cool Temperate - Arid Predominantly Closed,"532.8",Very high,High,,Very high,Low,Low,Very high,,,,,,"10",Sout (Noord),"17.84841197","-31.24477972",Cool Temperate Arid Predominantly Closed,Endangered,Moderately,E,Cool Temperate Arid Predominantly Closed,Cool Temperate,"14.4021165679",EN,PP,EN_PP,est,Poorly Protected,Endangered
"7",Olifants,1 Cool Temperate - Predominantly Open,"2778.6",Medium,Medium,,Medium,High,High,High,Very high,Very high,Very high,High,Very high,"12",Olifants,"18.18711897","-31.70104397",Cool Temperate Predominantly Open,Endangered,Not Protected,C,Cool Temperate Predominantly Open,Cool Temperate,"152.598212237",EN,NP,EN_NP,est,Not Protected,Endangered
"8",Jakkals,1 Cool Temperate - Large Temporarily Closed,"72.59999999999999",High,High,,Very high,High,High,Medium,High,Low,Low,,,"14",Jakkals,"18.313416","-32.084641",Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,D,Cool Temperate Large Temporarily Closed,Cool Temperate,"32.839120096",EN,PP,EN_PP,est,Poorly Protected,Endangered
"9",Wadrift,1 Cool Temperate - Arid Predominantly Closed,"509",High,High,,Very high,High,High,High,Low,Low,Low,,,"15",Wadrift,"18.32526997","-32.20458583",Cool Temperate Arid Predominantly Closed,Endangered,Moderately,E,Cool Temperate Arid Predominantly Closed,Cool Temperate,"14.4021165679",EN,PP,EN_PP,est,Poorly Protected,Endangered
"10",Verlorenvlei,1 Cool Temperate - Estuarine Lake,"2276.3",Very high,High,Medium,Very high,Very high,Very high,High,Medium,Medium,Medium,,High,"16",Verlorenvlei,"18.33317397","-32.31592194",Cool Temperate Estuarine Lake,Endangered,Poorly,D,Cool Temperate Estuarine Lake,Cool Temperate,"70.930767172",EN,PP,EN_PP,est,Poorly Protected,Endangered
"11",Groot Berg,1 Cool Temperate - Predominantly Open,"11733.5",High,Very high,Low,Medium,Very high,Very high,High,Very high,Very high,Very high,Medium,Very high,"18",Groot Berg,"18.143885","-32.76974889",Cool Temperate Predominantly Open,Endangered,Not Protected,C,Cool Temperate Predominantly Open,Cool Temperate,"152.598212237",EN,NP,EN_NP,est,Not Protected,Endangered
"12",Langebaan,1 Cool Temperate - Estuarine Lagoon,"6006.9",Low,Low,,Low,Low,Low,Low,Very high,Very high,High,,,"22",Langebaan,"18.02193611","-33.09732222",Cool Temperate Estuarine Lagoon,Vulnerable,Moderately,B,Cool Temperate Estuarine Lagoon,Cool Temperate,"60.0688314212",EN,MP,EN_MP,est,Moderately Protected,Endangered
"13",Diep/Rietvlei,1 Cool Temperate - Large Temporarily Closed,"1250",High,Medium,Low,Medium,Very high,Very high,Very high,Medium,Low,Low,Medium,High,"34",Diep/Rietvlei,"18.482143","-33.88990389",Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,D,Cool Temperate Large Temporarily Closed,Cool Temperate,"32.839120096",EN,PP,EN_PP,est,Poorly Protected,Endangered
"14",Sout (Wes),1 Cool Temperate - Large Temporarily Closed,"613.7",Very high,Very high,,Very high,Very high,Very high,Very high,Low,Low,Low,,,"35",Sout (Wes),"18.47158597","-33.90803472",Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,F,Cool Temperate Large Temporarily Closed,Cool Temperate,"32.839120096",EN,PP,EN_PP,est,Poorly Protected,Endangered
"15",Disa,1 Cool Temperate - Large Temporarily Closed,"23.5",Very high,Very high,,Very high,Very high,Very high,High,Low,Low,Low,Medium,High,"36",Disa,"18.3545","-34.04639097",Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,E,Cool Temperate Large Temporarily Closed,Cool Temperate,"32.839120096",EN,PP,EN_PP,est,Poorly Protected,Endangered
"16",Wildevoëlvlei,1 Cool Temperate - Large Temporarily Closed,"604.8",High,Medium,,Medium,Very high,Very high,High,Low,Low,Low,High,Low,"38",Wildevoëlvlei,"18.343287","-34.127411",Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,D/E,Cool Temperate Large Temporarily Closed,Cool Temperate,"32.839120096",EN,PP,EN_PP,est,Poorly Protected,Endangered
"17",Schuster,1 Cool Temperate - Small Temporarily Closed,"22.6",Low,Medium,,Medium,Low,Low,Low,Low,Low,Low,,,"40",Schuster,"18.37090697","-34.20204497",Cool Temperate Small Temporarily Closed,Endangered,Well,B,Cool Temperate Small Temporarily Closed,Cool Temperate,"5.17640367488",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"18",Krom,1 Cool Temperate - Small Temporarily Closed,"100.5",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"41",Krom,"18.378401","-34.23094194",Cool Temperate Small Temporarily Closed,Endangered,Well,A/B,Cool Temperate Small Temporarily Closed,Cool Temperate,"5.17640367488",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"19",Silwermyn,1 Cool Temperate - Large Temporarily Closed,"15.8",Very high,High,Very high,High,High,High,High,Low,Low,Low,,High,"46",Silwermyn,"18.43892297","-34.13276297",Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,E,Cool Temperate Large Temporarily Closed,Cool Temperate,"32.839120096",EN,PP,EN_PP,est,Poorly Protected,Endangered
"20",Zand,1 Cool Temperate - Large Temporarily Closed,"381.8",High,Low,Very high,Low,Very high,Very high,Very high,Medium,Medium,Medium,Medium,Very high,"47",Zand,"18.4765","-34.10638397",Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,D,Cool Temperate Large Temporarily Closed,Cool Temperate,"32.839120096",EN,PP,EN_PP,est,Poorly Protected,Endangered
"21",Zeekoei,1 Cool Temperate - Estuarine Lake,"405.5",Very high,High,Very high,High,Very high,Very high,Very high,Low,Low,Low,High,Very high,"48",Zeekoei,"18.50493397","-34.09841897",Cool Temperate Estuarine Lake,Endangered,Poorly,E,Cool Temperate Estuarine Lake,Cool Temperate,"70.930767172",EN,PP,EN_PP,est,Poorly Protected,Endangered
"22",Eerste,1 Cool Temperate - Large Temporarily Closed,"277.4",Very high,Very high,Medium,Very high,Very high,Very high,Very high,Low,Low,Low,High,High,"49",Eerste,"18.753723","-34.07882697",Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,E,Cool Temperate Large Temporarily Closed,Cool Temperate,"32.839120096",EN,PP,EN_PP,est,Poorly Protected,Endangered
"23",Lourens,1 Cool Temperate - Small Temporarily Closed,"266.5",High,Low,Low,Low,Very high,Very high,Very high,Low,Low,Low,High,Very high,"50",Lourens,"18.81084297","-34.100052",Cool Temperate Small Temporarily Closed,Endangered,Well,D,Cool Temperate Small Temporarily Closed,Cool Temperate,"5.17640367488",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"24",Sir Lowry’s Pass,1 Cool Temperate - Small Temporarily Closed,"4.1",Very high,Medium,,Medium,Very high,Very high,Very high,Low,Low,Low,Medium,,"52",Sir Lowry’s Pass,"18.864895","-34.15556",Cool Temperate Small Temporarily Closed,Endangered,Well,E,Cool Temperate Small Temporarily Closed,Cool Temperate,"5.17640367488",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"25",Steenbras,1 Cool Temperate - Small Fluvially Dominated,"4",Low,Very high,,Very high,Low,Low,Low,Low,Low,Low,Medium,Low,"53",Steenbras,"18.819412","-34.19481889",Cool Temperate Small Fluvially Dominated,Least Concern,Well,B,Cool Temperate Small Fluvially Dominated,Cool Temperate,"0.039565514447",VU,WP,VU_WP,est,Well Protected,Vulnerable
"26",Rooiels,1 Cool Temperate - Small Temporarily Closed,"21.6",Low,Low,,Low,Low,Low,Low,Low,Low,Low,Medium,,"54",Rooiels,"18.821045","-34.29577389",Cool Temperate Small Temporarily Closed,Endangered,Well,A,Cool Temperate Small Temporarily Closed,Cool Temperate,"5.17640367488",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"27",Buffels (Oos),1 Cool Temperate - Small Temporarily Closed,"35.8",Low,Medium,,Medium,Low,Low,Low,Low,Low,Low,High,,"55",Buffels (Oos),"18.82953497","-34.33894694",Cool Temperate Small Temporarily Closed,Endangered,Well,B,Cool Temperate Small Temporarily Closed,Cool Temperate,"5.17640367488",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"28",Palmiet,1 Cool Temperate - Large Temporarily Closed,"44.2",Medium,Medium,,Medium,Medium,Medium,High,Very high,Low,Low,Medium,High,"56",Palmiet,"18.99414097","-34.34544",Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,C,Cool Temperate Large Temporarily Closed,Cool Temperate,"32.839120096",EN,PP,EN_PP,est,Poorly Protected,Endangered
"29",Bot/Kleinmond,1 Cool Temperate - Estuarine Lake,"2345.9",Medium,Medium,Medium,Medium,High,High,Low,Very high,Very high,Very high,Medium,High,"57",Bot/Kleinmond,"19.09713197","-34.368431",Cool Temperate Estuarine Lake,Endangered,Poorly,C,Cool Temperate Estuarine Lake,Cool Temperate,"70.930767172",EN,PP,EN_PP,est,Poorly Protected,Endangered
"30",Onrus,1 Cool Temperate - Small Temporarily Closed,"30.8",High,High,Low,High,Very high,Very high,High,Low,Low,Low,Medium,High,"58",Onrus,"19.178692","-34.418652",Cool Temperate Small Temporarily Closed,Endangered,Well,D,Cool Temperate Small Temporarily Closed,Cool Temperate,"5.17640367488",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"31",Klein,1 Cool Temperate - Estuarine Lake,"2065.5",Medium,Low,Medium,Low,High,High,Medium,Very high,Very high,High,High,High,"60",Klein,"19.29815897","-34.42065389",Cool Temperate Estuarine Lake,Endangered,Poorly,C,Cool Temperate Estuarine Lake,Cool Temperate,"70.930767172",EN,PP,EN_PP,est,Poorly Protected,Endangered
"32",Uilkraals,1 Cool Temperate - Predominantly Open,"747.7",High,Very high,Medium,Very high,Medium,Very high,Medium,Medium,Medium,Medium,Medium,Low,"61",Uilkraals,"19.40763497","-34.60754889",Cool Temperate Predominantly Open,Endangered,Not Protected,D,Cool Temperate Predominantly Open,Cool Temperate,"152.598212237",EN,NP,EN_NP,est,Not Protected,Endangered
"33",Ratel,1 Cool Temperate - Small Temporarily Closed,"35.9",Low,Low,,Low,Medium,Medium,Low,Low,Low,Low,,,"63",Ratel,"19.746506","-34.77101889",Cool Temperate Small Temporarily Closed,Endangered,Well,B,Cool Temperate Small Temporarily Closed,Cool Temperate,"5.17640367488",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"34",Heuningnes,2 Warm Temperate - Estuarine Lake,"10993.7",High,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Very high,"65",Heuningnes,"20.119246","-34.71479",Warm Temperate Estuarine Lake,Endangered,Moderately,C/D,Warm Temperate Estuarine Lake,Warm Temperate,"143.423569509",EN,MP,EN_MP,est,Moderately Protected,Endangered
"35",Klipdrifsfontein,2 Warm Temperate - Small Temporarily Closed,"6.7",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"66",Klipdrifsfontein,"20.73133197","-34.451906",Warm Temperate Small Temporarily Closed,Least Concern,Well,A,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"36",Breede,2 Warm Temperate - Predominantly Open,"2257.6",Low,Medium,,Medium,Medium,Medium,Low,High,High,High,High,Very high,"68",Breede,"20.84533197","-34.40743389",Warm Temperate Predominantly Open,Vulnerable,Poorly,B/C,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"37",Duiwenhoks,2 Warm Temperate - Predominantly Open,"441.4",Medium,High,,High,Medium,Medium,Medium,High,High,High,Medium,High,"69",Duiwenhoks,"21.001182","-34.36502972",Warm Temperate Predominantly Open,Vulnerable,Poorly,C,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"38",Goukou,2 Warm Temperate - Predominantly Open,"438.7",Medium,High,,High,Medium,Medium,Medium,High,High,High,Medium,High,"70",Goukou,"21.423527","-34.37835194",Warm Temperate Predominantly Open,Vulnerable,Poorly,C,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"39",Gouritz,2 Warm Temperate - Predominantly Open,"1099.7",Medium,Very high,,Very high,Low,Low,Very high,Very high,High,High,Medium,Very high,"71",Gouritz,"21.885904","-34.34534083",Warm Temperate Predominantly Open,Vulnerable,Poorly,C/D,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"40",Blinde,2 Warm Temperate - Small Temporarily Closed,"19.9",Medium,Medium,,High,Very high,High,Low,Low,Low,Low,High,,"72",Blinde,"22.012947","-34.21085",Warm Temperate Small Temporarily Closed,Least Concern,Well,B/C,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"41",Tweekuilen,2 Warm Temperate - Small Temporarily Closed,"23.2",Very high,High,,High,Very high,Very high,High,Low,Low,Low,,,"73",Tweekuilen,"22.11169722","-34.15153056",Warm Temperate Small Temporarily Closed,Least Concern,Well,D/E,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"42",Gericke,2 Warm Temperate - Small Temporarily Closed,"8.699999999999999",Very high,High,,High,Very high,Very high,High,Low,Low,Low,,,"74",Gericke,"22.11041667","-34.14398611",Warm Temperate Small Temporarily Closed,Least Concern,Well,D/E,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"43",Hartenbos,2 Warm Temperate - Large Temporarily Closed,"306.1",High,Medium,High,Medium,Very high,Very high,High,Low,Low,Low,Medium,High,"75",Hartenbos,"22.125782","-34.115112",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,D,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"44",Klein Brak,2 Warm Temperate - Large Temporarily Closed,"1021.7",Medium,High,Medium,High,Low,Low,High,High,Medium,Medium,High,High,"76",Klein Brak,"22.148586","-34.09293",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,C,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"45",Groot Brak,2 Warm Temperate - Large Temporarily Closed,"318.1",High,Medium,High,Medium,High,High,High,Medium,Medium,Medium,High,High,"77",Groot Brak,"22.23929197","-34.057254",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,D,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"46",Maalgate,2 Warm Temperate - Large Temporarily Closed,"34.4",Low,High,,High,Low,Low,Low,Low,Low,Low,High,,"79",Maalgate,"22.35443897","-34.05438997",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,B,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"47",Gwaing,2 Warm Temperate - Small Temporarily Closed,"21.8",Medium,Low,,Low,Very high,Very high,Low,Low,Low,Low,High,High,"80",Gwaing,"22.434139","-34.05646897",Warm Temperate Small Temporarily Closed,Least Concern,Well,B/C,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"48",Kaaimans,2 Warm Temperate - Predominantly Open,"40.6",Low,High,,High,Low,Low,Low,Low,Low,Low,High,,"84",Kaaimans,"22.55705597","-33.99781389",Warm Temperate Predominantly Open,Vulnerable,Poorly,B,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"49",Touw/Wilderness,2 Warm Temperate - Estuarine Lake,"1180.4",Medium,Low,Medium,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,"85",Touw/Wilderness,"22.58112697","-33.99575778",Warm Temperate Estuarine Lake,Endangered,Moderately,B/C,Warm Temperate Estuarine Lake,Warm Temperate,"143.423569509",EN,MP,EN_MP,est,Moderately Protected,Endangered
"50",Swartvlei,2 Warm Temperate - Estuarine Lake,"2168.2",Low,Low,Medium,Low,Low,Low,Low,Medium,Low,Low,Medium,Medium,"86",Swartvlei,"22.79625597","-34.031516",Warm Temperate Estuarine Lake,Endangered,Moderately,B/C,Warm Temperate Estuarine Lake,Warm Temperate,"143.423569509",EN,MP,EN_MP,est,Moderately Protected,Endangered
"51",Goukamma,2 Warm Temperate - Large Temporarily Closed,"299.2",Low,Low,,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,"87",Goukamma,"22.94913497","-34.07716097",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,A/B,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"52",Knysna,2 Warm Temperate - Estuarine Bay,"3010.6",Low,Low,,Low,High,High,Low,High,High,High,,High,"88",Knysna,"23.061453","-34.082706",Warm Temperate Estuarine Bay,Vulnerable,Moderately,B/C,Warm Temperate Estuarine Bay,Warm Temperate,"30.1056471284",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"53",Noetsie,2 Warm Temperate - Small Temporarily Closed,"50.6",Low,Low,,Low,Low,Low,Low,Low,Low,Low,Medium,,"89",Noetsie,"23.12915397","-34.080302",Warm Temperate Small Temporarily Closed,Least Concern,Well,B,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"54",Piesang,2 Warm Temperate - Large Temporarily Closed,"87.3",High,High,Very high,High,Medium,Medium,High,Low,Low,Low,High,,"93",Piesang,"23.37876197","-34.060465",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,D,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"55",Keurbooms,2 Warm Temperate - Predominantly Open,"1623.8",Low,Low,,Low,Low,Low,Low,Medium,Low,Low,Medium,High,"94",Keurbooms,"23.378187","-34.04984997",Warm Temperate Predominantly Open,Vulnerable,Poorly,A/B,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"56",Matjies,2 Warm Temperate - Small Temporarily Closed,"12.1",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"95",Matjies,"23.470182","-34.001965",Warm Temperate Small Temporarily Closed,Least Concern,Well,A/B,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"57",Sout (Oos),2 Warm Temperate - Predominantly Open,"24.1",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"97",Sout (Oos),"23.536543","-33.98950194",Warm Temperate Predominantly Open,Vulnerable,Poorly,A,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"58",Groot (Wes),2 Warm Temperate - Small Temporarily Closed,"100",Low,Low,,Low,Low,Low,Low,Low,Low,Low,Medium,Low,"98",Groot (Wes),"23.56918","-33.98178083",Warm Temperate Small Temporarily Closed,Least Concern,Well,B,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"59",Bloukrans,2 Warm Temperate - Small Fluvially Dominated,"15.3",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"101",Bloukrans,"23.647469","-33.97964472",Warm Temperate Small Fluvially Dominated,Least Concern,Well,A,Warm Temperate Small Fluvially Dominated,Warm Temperate,"1.22435829857",LC,WP,LC_WP,est,Well Protected,Least Concern
"60",Lottering,2 Warm Temperate - Small Fluvially Dominated,"11.2",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"103",Lottering,"23.73595","-33.99551",Warm Temperate Small Fluvially Dominated,Least Concern,Well,A,Warm Temperate Small Fluvially Dominated,Warm Temperate,"1.22435829857",LC,WP,LC_WP,est,Well Protected,Least Concern
"61",Elandsbos,2 Warm Temperate - Small Fluvially Dominated,"22.1",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"104",Elandsbos,"23.767942","-34.00351297",Warm Temperate Small Fluvially Dominated,Least Concern,Well,A,Warm Temperate Small Fluvially Dominated,Warm Temperate,"1.22435829857",LC,WP,LC_WP,est,Well Protected,Least Concern
"62",Storms,2 Warm Temperate - Small Fluvially Dominated,"12.4",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"107",Storms,"23.902988","-34.020974",Warm Temperate Small Fluvially Dominated,Least Concern,Well,A,Warm Temperate Small Fluvially Dominated,Warm Temperate,"1.22435829857",LC,WP,LC_WP,est,Well Protected,Least Concern
"63",Elands,2 Warm Temperate - Small Fluvially Dominated,"31.1",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"111",Elands,"24.079086","-34.04398297",Warm Temperate Small Fluvially Dominated,Least Concern,Well,A,Warm Temperate Small Fluvially Dominated,Warm Temperate,"1.22435829857",LC,WP,LC_WP,est,Well Protected,Least Concern
"64",Groot (Oos),2 Warm Temperate - Small Fluvially Dominated,"30.3",Low,Low,,Low,Low,Medium,Low,Low,Low,Low,,,"112",Groot (Oos),"24.19501897","-34.05989497",Warm Temperate Small Fluvially Dominated,Least Concern,Well,A/B,Warm Temperate Small Fluvially Dominated,Warm Temperate,"1.22435829857",LC,WP,LC_WP,est,Well Protected,Least Concern
"65",Tsitsikamma,2 Warm Temperate - Small Temporarily Closed,"67.40000000000001",Low,Medium,,Medium,Medium,Medium,Low,High,Low,Low,,,"117",Tsitsikamma,"24.438326","-34.135593",Warm Temperate Small Temporarily Closed,Least Concern,Well,B,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"66",Klipdrif (Oos),2 Warm Temperate - Small Temporarily Closed,"66.8",Medium,Low,,Low,Very high,High,Medium,Low,Low,Low,,,"118",Klipdrif (Oos),"24.637049","-34.17236694",Warm Temperate Small Temporarily Closed,Least Concern,Well,B/C,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"67",Slang,2 Warm Temperate - Small Temporarily Closed,"42.8",Medium,Low,,Low,Very high,Very high,Medium,Low,Low,Low,,,"119",Slang,"24.65370197","-34.17412889",Warm Temperate Small Temporarily Closed,Least Concern,Well,C/D,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"68",Kromme,2 Warm Temperate - Predominantly Open,"755.5",High,Very high,,Very high,Low,Very high,High,Very high,High,High,,High,"120",Kromme,"24.842728","-34.14296697",Warm Temperate Predominantly Open,Vulnerable,Poorly,D,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"69",Seekoei,2 Warm Temperate - Large Temporarily Closed,"322.4",High,High,Very high,High,High,High,Very high,Low,Low,Low,Medium,Low,"121",Seekoei,"24.910743","-34.08666997",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,D/E,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"70",Kabeljous,2 Warm Temperate - Large Temporarily Closed,"311.9",Low,High,,Medium,Low,Medium,Low,Very high,Low,Low,High,High,"123",Kabeljous,"24.932503","-34.00880697",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,C,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"71",Gamtoos,2 Warm Temperate - Predominantly Open,"2133.4",High,Very high,Low,Medium,High,Medium,High,Very high,High,High,Medium,Very high,"124",Gamtoos,"25.034714","-33.97042472",Warm Temperate Predominantly Open,Vulnerable,Poorly,B/C,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"72",Van Stadens,2 Warm Temperate - Large Temporarily Closed,"101.8",Low,Medium,,Medium,Medium,Low,Low,Low,Low,Low,High,,"125",Van Stadens,"25.22034597","-33.97055389",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,B,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"73",Maitland,2 Warm Temperate - Large Temporarily Closed,"67.59999999999999",Low,Medium,,Medium,Medium,Medium,Low,Low,Low,Low,High,,"126",Maitland,"25.29195197","-33.98803694",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,B/C,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"74",Baakens,2 Warm Temperate - Small Temporarily Closed,"13.5",Very high,High,,High,Very high,Very high,Very high,Low,Low,Low,,,"127",Baakens,"25.630013","-33.96372972",Warm Temperate Small Temporarily Closed,Least Concern,Well,E,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"75",Papkuils,2 Warm Temperate - Small Temporarily Closed,"80.40000000000001",Very high,High,,High,Very high,Very high,Very high,Low,Low,Low,,,"128",Papkuils,"25.613886","-33.917293",Warm Temperate Small Temporarily Closed,Least Concern,Well,F,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"76",Swartkops,2 Warm Temperate - Predominantly Open,"2861",High,Very high,,Very high,Very high,Very high,Very high,Very high,High,High,High,High,"129",Swartkops,"25.63304497","-33.86624472",Warm Temperate Predominantly Open,Vulnerable,Poorly,D,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"77",Coega (Ngqurha),2 Warm Temperate - Large Temporarily Closed,"443.5",Very high,High,,High,Medium,Low,Very high,Low,Low,Low,,High,"130",Coega (Ngqurha),"25.690739","-33.79538",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,E,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"78",Sundays,2 Warm Temperate - Predominantly Open,"824",Medium,Medium,,Medium,Very high,Very high,High,Very high,High,High,High,High,"131",Sundays,"25.853725","-33.72183583",Warm Temperate Predominantly Open,Vulnerable,Poorly,C,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"79",Boknes,2 Warm Temperate - Small Temporarily Closed,"47.5",Medium,Very high,,Very high,High,Medium,Low,Low,Low,Low,,Low,"132",Boknes,"26.586261","-33.72717278",Warm Temperate Small Temporarily Closed,Least Concern,Well,C,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
