"","Estuary name","Estuary type","Estuary functional type","Protection level","Threat status","Condition","Extent (ha)"
"144","Nebelele","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",29.8
"145","Qora (Qhorha)","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",133.9
"146","Jujura (Jujurha)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",30.3
"147","Ngadla","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",40.7
"148","Shixini","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Natural",116.4
"149","Beechamwood","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",20.1
"150","Kwazlelitsha (Kwazwedala)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",32.1
"151","Kwa-Goqo","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",30.9
"152","Ku-Nocekedwa","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",33.7
"153","Nqabara/Nqabarana","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",307.8
"154","Ngomane (East)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",25.9
"155","Ngoma/Kobule","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",88.8
"156","Mendu","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",107.4
"157","Mendwana","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Natural",27.8
"158","Mbashe","Subtropical Large Fluvially Dominated","Subtropical","Poorly Protected","Endangered","Moderately modified",469.8
"159","Ku-Mpenzu","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",31.7
"160","Ku-Bhula (Mbhanyana)","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",58.7
"161","Kwa-Suku","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",21.4
"162","Ntlonyane","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",89.7
"163","Nkanya","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",62.1
"164","Sundwana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",25.2
"165","Xora","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",261.5
"166","Bulungula","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",67.4
"167","Ku-Amanzimuzama","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Natural",13
"168","Nqakanqa","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",16.9
"169","Mdikana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",17
"170","Mncwasa","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",116.7
"171","Mpako","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",51.5
"172","Nenga","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",33.6
"173","Mapuzi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",12.2
"174","Mtata","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Moderately modified",545.6
"175","Thsani","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",12.6
"176","Mdumbi","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",254.9
"177","Lwandilana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",49.6
