"","EST_IDw","OUTLET_IDw","NAME","LONGdd","LATdd","EcoType_na","RLE_NBA18","PL_NBA18","PES2018","type","zone","extent","RLE","EPL","RLE_EPL","realm","protection_level","threat_status","est_name","full_ecosystem_type_name","efz_ha","2025_est_condition","2018_est_condition","2011_est_condition","condition","condition_100km_zones"
"150",150,221,"Kwazlelitsha (Kwazwedala)",28.75817697,-32.37004194,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Kwazlelitsha (Kwazwedala)","2 Warm Temperate - Small Temporarily Closed",32.1,90.4574324324324,92.7074324324324,98.175,"Natural",84.1584235557636
"151",151,222,"Kwa-Goqo",28.76151497,-32.36640278,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Kwa-Goqo","2 Warm Temperate - Small Temporarily Closed",30.9,89.1111675126904,91.3611675126904,98.175,"Near-natural",84.1584235557636
"152",152,223,"Ku-Nocekedwa",28.77779597,-32.34882389,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Ku-Nocekedwa","2 Warm Temperate - Small Temporarily Closed",33.7,90.392550831793,92.642550831793,98.175,"Natural",84.1584235557636
"153",153,224,"Nqabara/Nqabarana",28.79033097,-32.33971389,"Warm Temperate Predominantly Open","Vulnerable","Poorly","A/B","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Nqabara/Nqabarana","2 Warm Temperate - Predominantly Open",307.8,87.0344134234049,91.2594134234049,87.5,"Near-natural",84.1584235557636
"154",154,227,"Ngomane (East)",28.82950556,-32.30526389,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Ngomane (East)","2 Warm Temperate - Small Temporarily Closed",25.9,84.65,86.625,87,"Near-natural",84.1584235557636
"155",155,228,"Ngoma/Kobule",28.83731097,-32.301163,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Ngoma/Kobule","2 Warm Temperate - Small Temporarily Closed",88.8,90.7205836783211,92.9705836783211,91.125,"Natural",84.1584235557636
"156",156,230,"Mendu",28.877787,-32.28091583,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","A/B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mendu","2 Warm Temperate - Large Temporarily Closed",107.4,88.9285190898573,91.9285190898573,92.125,"Near-natural",84.1584235557636
"157",157,231,"Mendwana",28.884238,-32.268926,"Warm Temperate Predominantly Open","Vulnerable","Poorly","A","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mendwana","2 Warm Temperate - Predominantly Open",27.8,91.5643686874716,94.5643686874716,90.625,"Natural",84.1584235557636
"158",158,233,"Mbashe",28.901901,-32.249985,"Subtropical Large Fluvially Dominated","Endangered","Poorly","B","Subtropical Large Fluvially Dominated","SubTrop",107.65828848,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Mbashe","3 Subtropical - Large Fluvially Dominated",469.8,73.5708333333333,85.55,71.25,"Moderately modified",84.1584235557636
"159",159,234,"Ku-Mpenzu",28.914417,-32.24382694,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Ku-Mpenzu","3 Subtropical - Small Temporarily Closed",31.7,88.629130268036,90.379130268036,89.15,"Near-natural",84.1584235557636
"160",160,235,"Ku-Bhula (Mbhanyana)",28.928003,-32.22810694,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Ku-Bhula (Mbhanyana)","3 Subtropical - Small Temporarily Closed",58.7,88.5860783575514,91.8360783575514,91.225,"Near-natural",84.1584235557636
"161",161,238,"Kwa-Suku",28.94688333,-32.20529444,"Subtropical Large Temporarily Closed","Endangered","Poorly","A/B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Kwa-Suku","3 Subtropical - Large Temporarily Closed",21.4,88.775,89.775,89.225,"Near-natural",84.1584235557636
"162",162,239,"Ntlonyane",28.956662,-32.19470278,"Subtropical Large Temporarily Closed","Endangered","Poorly","B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Ntlonyane","3 Subtropical - Large Temporarily Closed",89.7,81.9212417202329,85.6462417202329,76.45,"Near-natural",84.1584235557636
"163",163,241,"Nkanya",28.974858,-32.1775,"Subtropical Large Temporarily Closed","Endangered","Poorly","B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Nkanya","3 Subtropical - Large Temporarily Closed",62.1,86.1207244655582,87.3707244655582,84.2,"Near-natural",84.1584235557636
"164",164,242,"Sundwana",28.98198,-32.173425,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Sundwana","3 Subtropical - Small Temporarily Closed",25.2,90.7747527812114,93.0247527812114,96.8,"Natural",84.1584235557636
"165",165,243,"Xora",28.99558497,-32.15863389,"Subtropical Predominantly Open","Endangered","Moderately","A/B","Subtropical Predominantly Open","SubTrop",78.4991420167,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Xora","3 Subtropical - Predominantly Open",261.5,75.5809183925,88.4559033987839,88.125,"Near-natural",84.1584235557636
"166",166,244,"Bulungula",29.01151797,-32.13800778,"Subtropical Large Temporarily Closed","Endangered","Poorly","A/B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Bulungula","3 Subtropical - Large Temporarily Closed",67.4,87.3545162366211,90.3295162366211,88.025,"Near-natural",84.1584235557636
"167",167,245,"Ku-Amanzimuzama",29.033381,-32.11492472,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Ku-Amanzimuzama","3 Subtropical - Small Temporarily Closed",13,90.4111623841162,93.2611623841162,90.2,"Natural",84.1584235557636
"168",168,247,"Nqakanqa",29.06241997,-32.09863897,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Nqakanqa","3 Subtropical - Small Temporarily Closed",16.9,83.7387158145065,88.0387158145065,94.7,"Near-natural",84.1584235557636
"169",169,248,"Mdikana",29.069334,-32.08858397,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mdikana","3 Subtropical - Small Temporarily Closed",17,87.825,91.8,94.7,"Near-natural",84.1584235557636
"170",170,249,"Mncwasa",29.076077,-32.08270583,"Subtropical Large Temporarily Closed","Endangered","Poorly","B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mncwasa","3 Subtropical - Large Temporarily Closed",116.7,85.9437255288551,86.7937255288551,85.625,"Near-natural",84.1584235557636
"171",171,253,"Mpako",29.10769497,-32.04023694,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mpako","3 Subtropical - Small Temporarily Closed",51.5,87.0551176100404,87.2551176100405,83.75,"Near-natural",84.1584235557636
"172",172,259,"Nenga",29.15181,-31.985485,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","C","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Nenga","3 Subtropical - Small Temporarily Closed",33.6,72.6479959828,71.6479959828,74.025,"Moderately modified",81.57067549517
"173",173,260,"Mapuzi",29.168716,-31.96994778,"Subtropical Large Temporarily Closed","Endangered","Poorly","A/B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mapuzi","3 Subtropical - Large Temporarily Closed",12.2,86.9837304734439,86.9337304734439,84.075,"Near-natural",81.57067549517
"174",174,261,"Mtata",29.183758,-31.95296278,"Subtropical Predominantly Open","Endangered","Moderately","C","Subtropical Predominantly Open","SubTrop",78.4991420167,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mtata","3 Subtropical - Predominantly Open",545.6,68.1722541871109,65.3886658088467,57.56,"Moderately modified",81.57067549517
"175",175,262,"Thsani",29.20886,-31.94495972,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Thsani","3 Subtropical - Small Temporarily Closed",12.6,81.7431732580038,84.5168079096045,83.575,"Near-natural",81.57067549517
"176",176,263,"Mdumbi",29.21629897,-31.93145,"Subtropical Predominantly Open","Endangered","Moderately","B","Subtropical Predominantly Open","SubTrop",78.4991420167,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mdumbi","3 Subtropical - Predominantly Open",254.9,85.3698710709293,86.1198710709293,84.075,"Near-natural",81.57067549517
"177",177,269,"Lwandilana",29.243925,-31.89619778,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Lwandilana","3 Subtropical - Small Temporarily Closed",49.6,86.4856562554741,90.7856562554741,91.2,"Near-natural",81.57067549517
"178",178,270,"Lwandile",29.247536,-31.89094472,"Subtropical Large Temporarily Closed","Endangered","Poorly","A/B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Lwandile","3 Subtropical - Large Temporarily Closed",100.5,89.0848913569235,90.8348913569235,90.125,"Near-natural",81.57067549517
"179",179,274,"Mtakatye",29.270247,-31.85926972,"Subtropical Predominantly Open","Endangered","Moderately","A/B","Subtropical Predominantly Open","SubTrop",78.4991420167,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mtakatye","3 Subtropical - Predominantly Open",247.8,87.0822586754643,88.3322586754643,85.25,"Near-natural",81.57067549517
"180",180,276,"Hluleka",29.303612,-31.82740778,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Hluleka","3 Subtropical - Small Temporarily Closed",30.1,87.9333139340144,90.1833139340144,90.375,"Near-natural",81.57067549517
"181",181,277,"Mnenu",29.33008997,-31.80756194,"Subtropical Large Temporarily Closed","Endangered","Poorly","A/B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mnenu","3 Subtropical - Large Temporarily Closed",197,88.5882408398886,90.5882408398886,87.275,"Near-natural",81.57067549517
"182",182,278,"Mtonga",29.34829097,-31.79326083,"Subtropical Large Temporarily Closed","Endangered","Poorly","A/B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mtonga","3 Subtropical - Large Temporarily Closed",56.2,67.2941034465964,89.5241034465964,87.225,"Moderately modified",81.57067549517
"183",183,281,"Mpande",29.357143,-31.76224889,"Subtropical Large Temporarily Closed","Endangered","Poorly","A/B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mpande","3 Subtropical - Large Temporarily Closed",51.3,88.8369874734284,90.5869874734284,89.95,"Near-natural",81.57067549517
"184",184,282,"Sinangwana",29.36989397,-31.750498,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Sinangwana","3 Subtropical - Small Temporarily Closed",123.1,86.5745424836601,87.3245424836601,82.875,"Near-natural",81.57067549517
"185",185,284,"Mngazana",29.422861,-31.69217694,"Subtropical Predominantly Open","Endangered","Moderately","B","Subtropical Predominantly Open","SubTrop",78.4991420167,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mngazana","3 Subtropical - Predominantly Open",770.6,80.7364628105043,80.5472471242298,76.725,"Near-natural",81.57067549517
"186",186,285,"Mngazi",29.463134,-31.67718389,"Subtropical Large Temporarily Closed","Endangered","Poorly","B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mngazi","3 Subtropical - Large Temporarily Closed",434.3,84.325,78.125,71.575,"Near-natural",81.57067549517
"187",187,288,"Gxwaleni",29.506893,-31.65547389,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Gxwaleni","3 Subtropical - Small Temporarily Closed",16.1,90.791086817768,93.166086817768,91.175,"Natural",81.57067549517
"188",188,289,"Bulolo",29.517749,-31.65068097,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Bulolo","3 Subtropical - Small Temporarily Closed",13.2,78.6669117647059,80.8919117647059,84.15,"Near-natural",81.57067549517
"189",189,290,"Mtumbane",29.520481,-31.64786278,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mtumbane","3 Subtropical - Small Temporarily Closed",15.5,80.8241774033697,80.4409811694747,84.875,"Near-natural",81.57067549517
"190",190,291,"Mzimvubu",29.54992897,-31.63114083,"Subtropical Large Fluvially Dominated","Endangered","Poorly","B","Subtropical Large Fluvially Dominated","SubTrop",107.65828848,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Mzimvubu","3 Subtropical - Large Fluvially Dominated",842.7,80.045,80.795,74.25,"Near-natural",81.57067549517
"191",191,294,"Ntlupeni",29.5812275,-31.60896194,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Ntlupeni","3 Subtropical - Small Temporarily Closed",30.8,89.2851093264948,92.8851093264948,87.725,"Near-natural",81.57067549517
"192",192,296,"Nkodusweni",29.60816389,-31.59428333,"Subtropical Large Temporarily Closed","Endangered","Poorly","A/B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Nkodusweni","3 Subtropical - Large Temporarily Closed",100,87.1714483120415,90.1464483120415,84.225,"Near-natural",81.57067549517
"193",193,300,"Mntafufu",29.637729,-31.56251889,"Subtropical Predominantly Open","Endangered","Moderately","B","Subtropical Predominantly Open","SubTrop",78.4991420167,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mntafufu","3 Subtropical - Predominantly Open",277.5,86.1453239961975,87.8953239961975,84.575,"Near-natural",81.57067549517
"194",194,303,"Ingo",29.66080556,-31.54914444,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Ingo","3 Subtropical - Small Temporarily Closed",34.7,89.775,93.75,94,"Near-natural",81.57067549517
"195",195,306,"Mzintlava",29.68979097,-31.52264389,"Subtropical Predominantly Open","Endangered","Moderately","A/B","Subtropical Predominantly Open","SubTrop",78.4991420167,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mzintlava","3 Subtropical - Predominantly Open",108.9,88.2641669119746,90.6141669119746,83.325,"Near-natural",81.57067549517
"196",196,310,"Mzimpunzi",29.723106,-31.47995889,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mzimpunzi","3 Subtropical - Small Temporarily Closed",67.8,86.7438601525099,89.2188601525099,89.6,"Near-natural",84.2057672972988
"197",197,311,"Kwanyambalala",29.73418611,-31.46806236,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Kwanyambalala","3 Subtropical - Small Temporarily Closed",24.8,83.6812977099237,84.4312977099237,87,"Near-natural",84.2057672972988
"198",198,312,"Mbotyi",29.73432222,-31.46684,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mbotyi","3 Subtropical - Small Temporarily Closed",64.1,83.4457555250833,84.1957555250833,86.375,"Near-natural",84.2057672972988
"199",199,314,"Mkozi",29.76157397,-31.44853389,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mkozi","3 Subtropical - Small Temporarily Closed",38.1,88.1082369974139,91.9582369974138,92.475,"Near-natural",84.2057672972988
"200",200,316,"Sikatsha",29.76833333,-31.445,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Sikatsha","3 Subtropical - Small Temporarily Closed",13.3,91.2236259348,93.9736259348,94.725,"Natural",84.2057672972988
"201",201,323,"Lupatana",29.851479,-31.42328083,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Lupatana","3 Subtropical - Small Temporarily Closed",14.5,90.1667070379554,88.6667070379554,94.725,"Natural",84.2057672972988
"202",202,324,"Mkweni",29.87283333,-31.40340833,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mkweni","3 Subtropical - Small Temporarily Closed",15.4,92.2063531945441,94.7063531945441,94.725,"Natural",84.2057672972988
"203",203,333,"Msikaba",29.96770556,-31.31922222,"Subtropical Predominantly Open","Endangered","Moderately","A/B","Subtropical Predominantly Open","SubTrop",78.4991420167,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Msikaba","3 Subtropical - Predominantly Open",142,89.7355739334113,92.1105739334113,91.425,"Near-natural",84.2057672972988
"204",204,338,"Mgwegwe",30.011365,-31.28765389,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mgwegwe","3 Subtropical - Small Temporarily Closed",19.4,94.8917943382723,98.1417943382723,99.5,"Natural",84.2057672972988
"205",205,340,"Mgwetyana",30.03971597,-31.26179278,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mgwetyana","3 Subtropical - Small Temporarily Closed",22.1,95.0369066047472,96.5619066047472,99.5,"Natural",84.2057672972988
"206",206,342,"Mtentu",30.04626497,-31.24885694,"Subtropical Predominantly Open","Endangered","Moderately","A/B","Subtropical Predominantly Open","SubTrop",78.4991420167,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mtentu","3 Subtropical - Predominantly Open",92.8,86.9636254788615,89.2136254788615,90.9,"Near-natural",84.2057672972988
"207",207,345,"Sikombe",30.069406,-31.22203694,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Sikombe","3 Subtropical - Small Temporarily Closed",102.1,88.8253667378183,90.5753667378183,92.225,"Near-natural",84.2057672972988
"208",208,346,"Kwanyana",30.10490597,-31.18633083,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Kwanyana","3 Subtropical - Small Temporarily Closed",57.8,89.7558777148591,91.0058777148591,89.025,"Near-natural",84.2057672972988
"209",209,347,"Mtolane",30.12697597,-31.159672,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mtolane","3 Subtropical - Small Temporarily Closed",46.5,91.15,94.125,91.225,"Natural",84.2057672972988
"210",210,348,"Mnyameni",30.13378,-31.152132,"Subtropical Large Temporarily Closed","Endangered","Poorly","A/B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mnyameni","3 Subtropical - Large Temporarily Closed",87.5,88.2664732127474,90.2664732127474,87.65,"Near-natural",84.2057672972988
"211",211,350,"Mpahlanyana",30.16016197,-31.124438,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mpahlanyana","3 Subtropical - Small Temporarily Closed",24.1,86.577027027027,88.577027027027,90.225,"Near-natural",84.2057672972988
"212",212,351,"Mpahlane",30.16484,-31.119444,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","A/B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mpahlane","3 Subtropical - Small Temporarily Closed",35.2,86.8834338138925,88.8834338138925,90.225,"Near-natural",84.2057672972988
"213",213,352,"Mzamba",30.17399997,-31.10885,"Subtropical Predominantly Open","Endangered","Moderately","B","Subtropical Predominantly Open","SubTrop",78.4991420167,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mzamba","3 Subtropical - Predominantly Open",110.7,86.6304299892748,86.7315159871298,85.575,"Near-natural",84.2057672972988
"214",214,353,"Mtentwana",30.18755497,-31.08829897,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","C","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Mtentwana","3 Subtropical - Small Temporarily Closed",33.4,73.595,64.175,66.3,"Moderately modified",84.2057672972988
"215",215,354,"uMthavuna",30.193694,-31.08452,"Subtropical Large Temporarily Closed","Endangered","Poorly","B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","uMthavuna","3 Subtropical - Predominantly Open",160,81.0032830830142,83.528939699617,81.125,"Near-natural",84.2057672972988
"216",216,355,"iSolwane",30.20482,-31.07539389,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","iSolwane","3 Subtropical - Small Temporarily Closed",18.7,75.9155030848992,87.3105030848992,82.9,"Near-natural",84.2057672972988
"217",217,360,"iSandlu",30.22905797,-31.04261997,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","C","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","iSandlu","3 Subtropical - Small Temporarily Closed",32.4,72.7570630246255,72.3520630246255,69.2,"Moderately modified",84.2057672972988
"218",218,361,"uMbhoyibhoyi",30.235601,-31.03466,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","uMbhoyibhoyi","3 Subtropical - Small Temporarily Closed",20.2,77.7480478917231,85.8430478917231,78.6,"Near-natural",84.2057672972988
"219",219,364,"uMuntongazi",30.25683097,-31.011437,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","B/C","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","uMuntongazi","3 Subtropical - Small Temporarily Closed",11.5,72.2331576233261,75.2531576233261,78.875,"Moderately modified",84.2057672972988
"220",220,365,"iKhandalendlovu",30.269293,-30.99739583,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","B","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","iKhandalendlovu","3 Subtropical - Small Temporarily Closed",31.6,75.7137096774194,82.0837096774194,75.525,"Near-natural",84.2057672972988
"221",221,370,"iMpenjani",30.284106,-30.97370778,"Subtropical Large Temporarily Closed","Endangered","Poorly","B/C","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","iMpenjani","3 Subtropical - Large Temporarily Closed",100.8,71.8643251034009,73.3343251034009,79.625,"Moderately modified",84.2057672972988
"222",222,371,"uMhlangomkhulu (South) (Umhlangankulu)",30.30307497,-30.94541389,"Subtropical Large Temporarily Closed","Endangered","Poorly","C","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","uMhlangomkhulu (South) (Umhlangankulu)","3 Subtropical - Large Temporarily Closed",45.5,67.3513805352528,66.3513805352528,64.875,"Moderately modified",84.2057672972988
"223",223,372,"iKhaba",30.308989,-30.935966,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","C","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","iKhaba","3 Subtropical - Small Temporarily Closed",26.2,64.9324068787274,68.7324068787274,80.375,"Moderately modified",65.0565290258565
"224",224,374,"iMbizana",30.334784,-30.90863972,"Subtropical Large Temporarily Closed","Endangered","Poorly","B","Subtropical Large Temporarily Closed","SubTrop",50.512089756,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","iMbizana","3 Subtropical - Large Temporarily Closed",95.9,78.4503325022003,79.4503325022003,77.375,"Near-natural",65.0565290258565
"225",225,377,"iMvutshini",30.34713597,-30.89407889,"Subtropical Small Temporarily Closed","Vulnerable","Moderately","B/C","Subtropical Small Temporarily Closed","SubTrop",20.4839036646,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","iMvutshini","3 Subtropical - Small Temporarily Closed",10.7,63.9,75.1281211348637,75.3,"Moderately modified",65.0565290258565
