"","EST_IDw","OUTLET_IDw","NAME","LONGdd","LATdd","EcoType_na","RLE_NBA18","PL_NBA18","PES2018","type","zone","extent","RLE","EPL","RLE_EPL","realm","protection_level","threat_status","est_name","full_ecosystem_type_name","efz_ha","2025_est_condition","2018_est_condition","2011_est_condition","condition","condition_100km_zones"
"53",53,89,"Noetsie",23.12915397,-34.080302,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Noetsie","2 Warm Temperate - Small Temporarily Closed",50.6,84.725,85.725,82.75,"Near-natural",86.2646028214276
"54",54,93,"Piesang",23.37876197,-34.060465,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","D","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Piesang","2 Warm Temperate - Large Temporarily Closed",87.3,51.6542813122982,51.4292813122982,61.525,"Heavily modified",86.2646028214276
"55",55,94,"Keurbooms",23.378187,-34.04984997,"Warm Temperate Predominantly Open","Vulnerable","Poorly","A/B","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Keurbooms","2 Warm Temperate - Predominantly Open",1623.8,87.4,87.95,91,"Near-natural",86.2646028214276
"56",56,95,"Matjies",23.470182,-34.001965,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Matjies","2 Warm Temperate - Small Temporarily Closed",12.1,87.25,88.25,89,"Near-natural",86.2646028214276
"57",57,97,"Sout (Oos)",23.536543,-33.98950194,"Warm Temperate Predominantly Open","Vulnerable","Poorly","A","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Sout (Oos)","2 Warm Temperate - Predominantly Open",24.1,93.75,95.25,95,"Natural",86.2646028214276
"58",58,98,"Groot (Wes)",23.56918,-33.98178083,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Groot (Wes)","2 Warm Temperate - Small Temporarily Closed",100,85.4193556720053,86.4193556720053,76.125,"Near-natural",86.2646028214276
"59",59,101,"Bloukrans",23.647469,-33.97964472,"Warm Temperate Small Fluvially Dominated","Least Concern","Well","A","Warm Temperate Small Fluvially Dominated","WTemp",1.22435829857,"LC","WP","LC_WP","est","Well Protected","Least Concern","Bloukrans","2 Warm Temperate - Small Fluvially Dominated",15.3,95.3237168683377,96.8237168683377,92.325,"Natural",86.2646028214276
"60",60,103,"Lottering",23.73595,-33.99551,"Warm Temperate Small Fluvially Dominated","Least Concern","Well","A","Warm Temperate Small Fluvially Dominated","WTemp",1.22435829857,"LC","WP","LC_WP","est","Well Protected","Least Concern","Lottering","2 Warm Temperate - Small Fluvially Dominated",11.2,92.4820105913541,94.7320105913541,91.45,"Natural",86.2646028214276
"61",61,104,"Elandsbos",23.767942,-34.00351297,"Warm Temperate Small Fluvially Dominated","Least Concern","Well","A","Warm Temperate Small Fluvially Dominated","WTemp",1.22435829857,"LC","WP","LC_WP","est","Well Protected","Least Concern","Elandsbos","2 Warm Temperate - Small Fluvially Dominated",22.1,91.7606471132801,94.0106471132801,90.9,"Natural",86.2646028214276
"62",62,107,"Storms",23.902988,-34.020974,"Warm Temperate Small Fluvially Dominated","Least Concern","Well","A","Warm Temperate Small Fluvially Dominated","WTemp",1.22435829857,"LC","WP","LC_WP","est","Well Protected","Least Concern","Storms","2 Warm Temperate - Small Fluvially Dominated",12.4,91.2148438512409,93.4648438512409,90.275,"Natural",75.9608259188482
