mapcode,ecotype,zone,extent,ets,epl,realm,threatened,rlm
AZd2,Namaqualand Seashore Vegetation,Coastal vegetation,9.5168,CR,PP,Coastal Terrestrial,1,T
AZd1,Namib Seashore Vegetation,Coastal vegetation,0.3172,CR,NP,Coastal Terrestrial,1,T
AZd4,Subtropical Seashore Vegetation,Coastal vegetation,26.27,LC,WP,Coastal Terrestrial,0,T
TR1,Tropical Estuarine Lake,Estuaries,81.6629477243529,VU,MP,Estuarine,1,E
ST1s,Subtropical Estuarine Bay,Estuaries,28.1520198774511,CR,NP,Estuarine,1,E
ST2s,Subtropical Estuarine Lake,Estuaries,818.752767461073,EN,MP,Estuarine,1,E
ST3s,Subtropical Large Fluvially Dominated,Estuaries,107.658288479826,EN,PP,Estuarine,1,E
ST4s,Subtropical Large Temporarily Closed,Estuaries,50.5120897559682,VU,PP,Estuarine,1,E
ST6s,Subtropical Predominantly Open,Estuaries,78.4991420166852,VU,PP,Estuarine,1,E
ST7s,Subtropical Small Temporarily Closed,Estuaries,20.4839036645557,VU,MP,Estuarine,1,E
WT1s,Warm Temperate Estuarine Bay,Estuaries,30.1056471283708,VU,MP,Estuarine,1,E
WT2s,Warm Temperate Estuarine Lake,Estuaries,143.423569509232,EN,MP,Estuarine,1,E
WT3s,Warm Temperate Large Fluvially Dominated,Estuaries,5.72582112925239,VU,NP,Estuarine,1,E
WT4s,Warm Temperate Large Temporarily Closed,Estuaries,69.2596673221285,VU,PP,Estuarine,1,E
WT6s,Warm Temperate Predominantly Open,Estuaries,176.69248293924,VU,PP,Estuarine,1,E
WT7s,Warm Temperate Small Fluvially Dominated,Estuaries,1.22435829857325,LC,WP,Estuarine,0,E
WT8s,Warm Temperate Small Temporarily Closed,Estuaries,16.1027211742301,LC,MP,Estuarine,0,E
CT1s,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,EN,PP,Estuarine,1,E
CT2,Cool Temperate Estuarine Lagoon,Estuaries,60.0688314211718,EN,MP,Estuarine,1,E
CT3s,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,EN,PP,Estuarine,1,E
CT4,Cool Temperate Large Fluvially Dominated,Estuaries,30.1905846029966,EN,PP,Estuarine,1,E
CT5s,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,EN,PP,Estuarine,1,E
CT7s,Cool Temperate Predominantly Open,Estuaries,152.598212237101,EN,NP,Estuarine,1,E
CT8s,Cool Temperate Small Fluvially Dominated,Estuaries,0.0395655144470274,VU,WP,Estuarine,1,E
CT9s,Cool Temperate Small Temporarily Closed,Estuaries,5.17640367488375,VU,MP,Estuarine,1,E
SHa1,Agulhas Boulder Shore,Shore,1.63047062342191,NT,MP,Coastal Marine,0,M
SHa5,Agulhas Exposed Stromatolite Rocky Shore,Shore,8.29588149602399,NT,PP,Coastal Marine,0,M
SHa4,Agulhas Exposed Rocky Shore,Shore,89.4899998908471,VU,MP,Coastal Marine,1,M
SHa9,Agulhas Sheltered Rocky Shore,Shore,1.31753414924586,EN,PP,Coastal Marine,1,M
SHa12,Agulhas Very Exposed Stromatolite Rocky Shore,Shore,1.26502103971722,NT,MP,Coastal Marine,0,M
SHa11,Agulhas Very Exposed Rocky Shore,Shore,9.07358637308985,LC,PP,Coastal Marine,0,M
SHc1,Cape Boulder Shore,Shore,2.62294539023256,VU,MP,Coastal Marine,1,M
SHc2,Cape Exposed Rocky Shore,Shore,28.8799923049157,VU,MP,Coastal Marine,1,M
SHc4,Cape Sheltered Rocky Shore,Shore,1.48131661842756,EN,NP,Coastal Marine,1,M
SHc5,Cape Very Exposed Rocky Shore,Shore,0.523550143900107,LC,MP,Coastal Marine,0,M
SHd2,Delagoa Very Exposed Rocky Shore,Shore,0.26728955428873,LC,WP,Coastal Marine,0,M
SHn1,Namaqua Exposed Rocky Shore,Shore,42.4888492854475,EN,PP,Coastal Marine,1,M
SHn3,Namaqua Sheltered Rocky Shore,Shore,1.19589222629092,EN,PP,Coastal Marine,1,M
SHn4,Namaqua Very Exposed Rocky Shore,Shore,3.14966155728105,EN,PP,Coastal Marine,1,M
SHna1,Natal Boulder Shore,Shore,0.273372386433886,VU,WP,Coastal Marine,1,M
SHna2,Natal Exposed Rocky Shore,Shore,31.4363868939502,NT,WP,Coastal Marine,0,M
SHna4,Natal Very Exposed Rocky Shore,Shore,0.958760010181768,NT,MP,Coastal Marine,0,M
SHa7,Agulhas Mixed Shore,Shore,188.084081621847,NT,PP,Coastal Marine,0,M
SHa10,Agulhas Stromatolite Mixed Shore,Shore,8.35762098315369,VU,PP,Coastal Marine,1,M
SHc3,Cape Mixed Shore,Shore,33.7339338998445,EN,PP,Coastal Marine,1,M
SHd1,Delagoa Mixed Shore,Shore,28.7546276148732,LC,WP,Coastal Marine,0,M
SHn2,Namaqua Mixed Shore,Shore,60.6566241566782,EN,PP,Coastal Marine,1,M
SHna3,Natal Mixed Shore,Shore,69.4813529609774,VU,MP,Coastal Marine,1,M
SHa3,Agulhas Dissipative Intermediate Sandy Shore,Shore,116.445347944504,LC,MP,Coastal Marine,0,M
SHa2,Agulhas Dissipative Sandy Shore,Shore,25.1498200029029,NT,MP,Coastal Marine,0,M
SHa6,Agulhas Intermediate Sandy Shore,Shore,14.451768374427,LC,MP,Coastal Marine,0,M
SHa8,Agulhas Reflective Sandy Shore,Shore,0.868005318487441,EN,PP,Coastal Marine,1,M
SHnad2,Natal Delagoa Dissipative Intermediate Sandy Shore,Shore,32.8521649933219,LC,WP,Coastal Marine,0,M
SHnad1,Natal Delagoa Dissipative Sandy Shore,Shore,0.705740773370085,NT,NP,Coastal Marine,0,M
SHnad3,Natal Delagoa Intermediate Sandy Shore,Shore,52.1177098499427,NT,WP,Coastal Marine,0,M
SHnad4,Natal Delagoa Reflective Sandy Shore,Shore,9.43567918033413,EN,WP,Coastal Marine,1,M
SHsb2,Southern Benguela Dissipative Intermediate Sandy Shore,Shore,51.4668402099681,LC,MP,Coastal Marine,0,M
SHsb1,Southern Benguela Dissipative Sandy Shore,Shore,26.1798968861555,LC,WP,Coastal Marine,0,M
