I_Rlm_P,I_EcTy1,mapcode,Shap_Ar,type,zone,extent,Threat status,Protection level,realm
Estuary,Cool Temperate Arid Predominantly Closed,CT1,12477.1878232,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Arid Predominantly Closed,CT1,2862293.86931,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,21072710.2008,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,980.185112375,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,9348.83925938,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,84.2562243242,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,580230.891403,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,2320.78120523,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,985.024776162,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,3776.74110082,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,7826.03786795,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,2851.28790221,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,12882.9117506,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,277.296607501,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,30514.7779911,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,442.382135868,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,2297.37598057,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,75751880.7159,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Estuarine Lagoon,CT2,58536388.0181,Cool Temperate Estuarine Lagoon,Estuaries,60.0688314211718,Endangered,Moderately Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,12094.5571936,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,2122.56559115,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,1485.48404146,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,1972.42788596,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,1715.73544279,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,1065.20465071,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,71.4901580166,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,107.743158429,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,145.673745797,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,4040.40909753,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,264.892058829,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,18607.9587344,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,3449.45884892,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,50239.9099747,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,6572115.27545,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,1508.16645171,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,5544.32841665,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,9398.20272688,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,19694.5381148,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,6942.90856948,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,25943.1618912,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,438714.042768,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,78319.7202642,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,1202159.5896,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Small Temporarily Closed,CT9,4337.52706594,Cool Temperate Small Temporarily Closed,Estuaries,5.17640367488375,Vulnerable,Moderately Protected,est
Estuary,Cool Temperate Small Temporarily Closed,CT9,265409.952982,Cool Temperate Small Temporarily Closed,Estuaries,5.17640367488375,Vulnerable,Moderately Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,46777.0233207,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,60.3208791283,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,3518.75939169,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,1778.15624223,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,1396.58680863,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,7195.41298744,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,22372.0993723,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,4270.35861779,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
