mapcode,type,zone,extent,RLE,EPL,realm
SKn5,Platbakkies Succulent Shrubland,Non-coastal,650.5384,LC,NP,ter
SKn6,Kamiesberg Mountains Shrubland,Non-coastal,391.506,LC,NP,ter
SKn7,Southern Namaqualand Quartzite Klipkoppe Shrubland,Non-coastal,907.9312,LC,PP,ter
SKs10,Riethuis-Wallekraal Quartz Vygieveld,Non-coastal,133.9984,LC,WP,ter
SKs11,Namaqualand Arid Grassland,Non-coastal,286.6852,LC,WP,ter
SKs13,Klawer Sandy Shrubland,Non-coastal,108.1508,CR,NP,ter
SKv1,Doringrivier Quartzite Karoo,Non-coastal,447.9824,LC,NP,ter
SKv10,Little Karoo Quartz Vygieveld,Non-coastal,226.2656,LC,PP,ter
SKv11,Eastern Little Karoo,Non-coastal,1369.166,EN,PP,ter
SKv13,Prince Albert Succulent Karoo,Non-coastal,2513.968,LC,PP,ter
SKv14,Steytlerville Karoo,Non-coastal,769.2448,LC,NP,ter
SKv2,Swartruggens Quartzite Karoo,Non-coastal,557.15,LC,MP,ter
SKv3,Agter-Sederberg Shrubland,Non-coastal,902.9904,LC,PP,ter
SKv4,Tanqua Escarpment Shrubland,Non-coastal,1313.5804,LC,MP,ter
SKv5,Tanqua Karoo,Non-coastal,6923.8212,LC,MP,ter
SKv6,Koedoesberge-Moordenaars Karoo,Non-coastal,4674.8652,LC,NP,ter
SKv7,Robertson Karoo,Non-coastal,496.252,LC,PP,ter
SKv8,Western Little Karoo,Non-coastal,3931.7928,LC,MP,ter
SKt1,Western Bushmanland Klipveld,Non-coastal,101.3284,LC,NP,ter
SKt2,Hantam Karoo,Non-coastal,7313.0976,LC,NP,ter
SKt3,Roggeveld Karoo,Non-coastal,5222.7172,LC,NP,ter
AT21,Buffels Mesic Thicket,Non-coastal,310.8976,LC,PP,ter
AT31,Fish Mesic Thicket,Non-coastal,210.196,LC,PP,ter
AT38,Grahamstown Grassland Thicket,Non-coastal,849.7652,LC,MP,ter
AT45,Nanaga Savanna Thicket,Non-coastal,430.4944,LC,MP,ter
AT18,Albany Valley Thicket,Non-coastal,1034.7104,LC,MP,ter
AT24,Doubledrift Karroid Thicket,Non-coastal,2598.0464,LC,PP,ter
AT15,Albany Arid Thicket,Non-coastal,14.5748,LC,PP,ter
AT16,Albany Bontveld,Non-coastal,51.1648,LC,PP,ter
AT22,Buffels Valley Thicket,Non-coastal,92.3968,CR,NP,ter
AT23,Crossroads Grassland Thicket,Non-coastal,268.2796,LC,MP,ter
AT28,Escarpment Mesic Thicket,Non-coastal,908.232,LC,PP,ter
AT30,Fish Arid Thicket,Non-coastal,625.3256,LC,WP,ter
AT32,Fish Valley Thicket,Non-coastal,3450.6652,LC,MP,ter
AT35,Geluk Grassland Thicket,Non-coastal,18.3744,LC,MP,ter
AT42,Koedoeskloof Karroid Thicket,Non-coastal,51.7304,LC,NP,ter
AT47,Saltaire Karroid Thicket,Non-coastal,886.1536,LC,PP,ter
AT52,Thorndale Forest Thicket,Non-coastal,30.2416,LC,PP,ter
AZa7,Subtropical Alluvial Vegetation,Non-coastal,859.3644,LC,WP,ter
AZa4,Upper Gariep Alluvial Vegetation,Non-coastal,1248.4128,LC,PP,ter
FOz5,Scarp Forest,Non-coastal,946.1864,LC,WP,ter
SVs6,Eastern Valley Bushveld,Non-coastal,7037.5756,LC,NP,ter
FOz2,Northern Afrotemperate Forest,Non-coastal,182.4208,LC,WP,ter
FOz3,Southern Mistbelt Forest,Non-coastal,884.3512,LC,MP,ter
Gd1,Amathole Montane Grassland,Non-coastal,4202.9276,LC,PP,ter
Gd2,Amathole Mistbelt Grassland,Non-coastal,153.586,LC,NP,ter
Gd3,Stormberg Plateau Grassland,Non-coastal,2409.262,LC,NP,ter
Gd4,Southern Drakensberg Highland Grassland,Non-coastal,5993.8588,LC,PP,ter
Gd8,Lesotho Highland Basalt Grassland,Non-coastal,17291.3664,LC,PP,ter
Gh2,Aliwal North Dry Grassland,Non-coastal,5660.4316,LC,NP,ter
Gh3,Xhariep Karroid Grassland,Non-coastal,12357.1816,LC,PP,ter
Gm1,Zastron Moist Grassland,Non-coastal,2813.2064,LC,NP,ter
Gm5,Basotho Montane Shrubland,Non-coastal,2462.3852,LC,PP,ter
Gs10,Drakensberg Foothill Moist Grassland,Non-coastal,7576.2196,LC,PP,ter
Gs11,Southern KwaZulu-Natal Moist Grassland,Non-coastal,1020.7256,EN,PP,ter
Gs12,East Griqualand Grassland,Non-coastal,4698.084,EN,PP,ter
Gs13,Mabela Sandy Grassland,Non-coastal,148.2664,CR,PP,ter
Gs14,Mthatha Moist Grassland,Non-coastal,2135.8588,EN,NP,ter
Gs15,Tsomo Grassland,Non-coastal,3708.014,LC,NP,ter
Gs16,Queenstown Thornveld,Non-coastal,2980.22,LC,NP,ter
Gs18,Bedford Dry Grassland,Non-coastal,1407.3916,LC,NP,ter
Gs19,Dry Coast Hinterland Grassland,Non-coastal,1334.6488,VU,NP,ter
Gs20,Moist Coast Hinterland Grassland,Non-coastal,2257.522,VU,NP,ter
Gs6,KwaZulu-Natal Highland Thornveld,Non-coastal,3303.6124,LC,PP,ter
Gs9,Midlands Mistbelt Grassland,Non-coastal,2020.0288,EN,PP,ter
CB6,KwaZulu-Natal Coastal Belt Thornveld,Non-coastal,411.5112,EN,NP,ter
NKl4,Albany Broken Veld,Non-coastal,683.2128,LC,MP,ter
SVs7,Bhisho Thornveld,Non-coastal,4782.816,LC,NP,ter
SVs4,Ngongoni Veld,Non-coastal,325.9052,EN,NP,ter
SVs5,KwaZulu-Natal Sandstone Sourveld,Non-coastal,250.3336,EN,NP,ter
AZa3,Lower Gariep Alluvial Vegetation,Non-coastal,530.9836,LC,PP,ter
AZi3,Southern Kalahari Mekgacha,Non-coastal,1914.6164,LC,MP,ter
Dg1,Noms Mountain Desert,Non-coastal,332.8976,LC,WP,ter
Dg10,Eastern Gariep Rocky Desert,Non-coastal,2084.2796,LC,NP,ter
Dg2,Richtersberg Mountain Desert,Non-coastal,361.3932,LC,WP,ter
Dg3,Richtersveld Sheet Wash Desert,Non-coastal,156.4688,LC,WP,ter
Dg4,Kwaggarug Mountain Desert,Non-coastal,107.1928,LC,WP,ter
Dg5,Kahams Mountain Desert,Non-coastal,591.9344,LC,WP,ter
Dg6,Helskloof Canyon Desert,Non-coastal,8.1068,LC,WP,ter
Dg7,Northern Nababiepsberge Mountain Desert,Non-coastal,244.0452,LC,NP,ter
Dg8,Southern Nababiepsberge Mountain Desert,Non-coastal,342.9244,LC,NP,ter
Dg9,Eastern Gariep Plains Desert,Non-coastal,1198.2608,LC,PP,ter
Dn4,Western Gariep Lowland Desert,Non-coastal,194.7612,CR,NP,ter
Dn5,Western Gariep Hills Desert,Non-coastal,384.4044,LC,PP,ter
FFq1,Stinkfonteinberge Quartzite Fynbos,Non-coastal,49.024,LC,WP,ter
NKb1,Lower Gariep Broken Veld,Non-coastal,4637.4332,LC,PP,ter
NKb2,Blouputs Karroid Thornveld,Non-coastal,601.392,LC,WP,ter
NKb5,Kalahari Karroid Shrubland,Non-coastal,8543.5324,LC,NP,ter
SVk10,Kuruman Mountain Bushveld,Non-coastal,5539.6844,LC,NP,ter
SVk11,Molopo Bushveld,Non-coastal,13624.6808,LC,PP,ter
SVk12,Kathu Bushveld,Non-coastal,7252.688,LC,PP,ter
SVk13,Olifantshoek Plains Thornveld,Non-coastal,8409.2552,LC,PP,ter
SVk14,Postmasburg Thornveld,Non-coastal,880.8224,LC,NP,ter
SVk15,Koranna-Langeberg Mountain Bushveld,Non-coastal,1617.2148,LC,MP,ter
SVk16,Gordonia Plains Shrubland,Non-coastal,7905.7652,LC,MP,ter
SVk4,Kimberley Thornveld,Non-coastal,12455.3472,LC,PP,ter
SVk5,Vaalbos Rocky Shrubland,Non-coastal,1418.3416,LC,PP,ter
SVk6,Schmidtsdrif Thornveld,Non-coastal,4220.3792,LC,NP,ter
SVk7,Ghaap Plateau Vaalbosveld,Non-coastal,13112.6348,LC,NP,ter
SVk8,Kuruman Vaalbosveld,Non-coastal,3235.7984,LC,NP,ter
SVk9,Kuruman Thornveld,Non-coastal,5504.2496,LC,NP,ter
SVkd1,Gordonia Duneveld,Non-coastal,37004.7196,LC,MP,ter
SVkd2,Gordonia Kameeldoring Bushveld,Non-coastal,2239.5116,LC,WP,ter
SVkd3,Auob Duneveld,Non-coastal,2897.932,LC,WP,ter
SVkd4,Nossob Bushveld,Non-coastal,762.2544,LC,WP,ter
SKr14,Southern Richtersveld Inselberg Shrubland,Non-coastal,365.2156,LC,NP,ter
SKn2,Namaqualand Shale Shrubland,Non-coastal,534.2036,LC,NP,ter
SKs5,Richtersveld Red Duneveld,Non-coastal,565.6908,LC,NP,ter
SKs6,Oograbies Plains Sandy Grassland,Non-coastal,122.7916,LC,NP,ter
SKr1,Central Richtersveld Mountain Shrubland,Non-coastal,1199.7416,LC,WP,ter
SKr10,Die Plate Succulent Shrubland,Non-coastal,127.1424,LC,NP,ter
SKr11,Rooiberg Quartz Vygieveld,Non-coastal,128.1204,LC,WP,ter
SKr12,Kosiesberg Succulent Shrubland,Non-coastal,611.8968,LC,NP,ter
SKr13,Southern Richtersveld Scorpionstailveld,Non-coastal,721.8316,CR,NP,ter
SKr15,Anenous Plateau Shrubland,Non-coastal,200.304,LC,NP,ter
SKr16,Umdaus Mountains Succulent Shrubland,Non-coastal,432.3352,LC,NP,ter
SKr17,Eenriet Plains Succulent Shrubland,Non-coastal,259.666,LC,NP,ter
SKr18,Bushmanland Inselberg Shrubland,Non-coastal,812.362,LC,PP,ter
